cpu_percent,num_open_files,memory_info_wset,memory_info_private,log_timestamp
0.0,5,19210240,3321856,2022-04-14 13:01:43.491246
0.0,5,19210240,3321856,2022-04-14 13:01:48.694019
0.0,5,19210240,3321856,2022-04-14 13:01:53.881167
0.0,5,19210240,3321856,2022-04-14 13:01:59.096616
0.0,5,19210240,3321856,2022-04-14 13:02:04.269349
0.0,5,19210240,3321856,2022-04-14 13:02:09.459996
0.0,5,19210240,3321856,2022-04-14 13:02:14.650676
0.0,5,19210240,3321856,2022-04-14 13:02:19.850213
0.0,5,19210240,3321856,2022-04-14 13:02:25.026679
0.0,5,19210240,3321856,2022-04-14 13:02:30.227053
0.0,5,19210240,3321856,2022-04-14 13:02:35.429823
0.0,5,19210240,3321856,2022-04-14 13:02:40.616974
