cpu_percent,num_open_files,memory_info_wset,memory_info_private,log_timestamp
0.0,3,14594048,3125248,2022-04-14 12:21:12.165422
0.0,3,14741504,3133440,2022-04-14 12:21:17.376903
0.0,5,19218432,3321856,2022-04-14 12:21:22.653584
